2026-03-15 23:49:06,020 | INFO | Main | Media monitoring script started.
2026-03-15 23:49:06,170 | INFO | Main | Processing started for leader: Devendra Fadnavis | From: 2025-12-08 00:00:00 To: 2025-12-09 00:00:00 with 
2026-03-15 23:49:06,170 | INFO | Link_extraction | Initialized Link_extraction for leader: Devendra Fadnavis, from 2025-12-08 00:00:00 to 2025-12-09 00:00:00
2026-03-15 23:49:06,170 | INFO | NewsScraper | Initializing NewsScraper.
2026-03-15 23:49:06,170 | INFO | NewsScraper | Reading Excel file: /home/runner/work/Media-Monitoring-Pipeline/Media-Monitoring-Pipeline/Input/Names_variations.xlsx, Sheet: Devendra Fadnavis
2026-03-15 23:49:06,180 | INFO | NewsScraper | Extracted 12 English and 12 Marathi names from 'Devendra Fadnavis'
2026-03-15 23:49:06,226 | INFO | CoreRouter | 1. Link Extraction started...
2026-03-15 23:49:06,226 | INFO | Link_extraction | Starting fetch_links() process
2026-03-15 23:49:06,264 | INFO | Link_extraction | Extracted 240 keywords from sheet 'Devendra Fadnavis'
2026-03-15 23:49:06,287 | INFO | WDM | ====== WebDriver manager ======
2026-03-15 23:49:06,359 | INFO | WDM | Get LATEST chromedriver version for google-chrome
2026-03-15 23:49:06,408 | INFO | WDM | Get LATEST chromedriver version for google-chrome
2026-03-15 23:49:06,455 | INFO | WDM | There is no [linux64] chromedriver "145.0.7632.117" for browser google-chrome "145.0.7632" in cache
2026-03-15 23:49:06,455 | INFO | WDM | Get LATEST chromedriver version for google-chrome
2026-03-15 23:49:06,588 | INFO | WDM | WebDriver version 145.0.7632.117 selected
2026-03-15 23:49:06,595 | INFO | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/linux64/chromedriver-linux64.zip
2026-03-15 23:49:06,595 | INFO | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/linux64/chromedriver-linux64.zip
2026-03-15 23:49:06,645 | INFO | WDM | Driver downloading response is 200
2026-03-15 23:49:06,718 | INFO | WDM | Get LATEST chromedriver version for google-chrome
2026-03-15 23:49:06,877 | INFO | WDM | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/145.0.7632.117]
2026-03-15 23:49:11,138 | INFO | Link_extraction | WebDriver initialized successfully
2026-03-15 23:49:11,138 | INFO | Link_extraction | Searching for: Devendra Fadnavis (30 pages)
2026-03-15 23:49:51,544 | WARNING | Link_extraction | No more pages available for 'Devendra Fadnavis' after page 6.
2026-03-15 23:49:51,544 | INFO | Link_extraction | Searching for: देवेंद्र फडणवीस (30 pages)
2026-03-15 23:50:18,481 | WARNING | Link_extraction | No more pages available for 'देवेंद्र फडणवीस' after page 4.
2026-03-15 23:50:18,482 | INFO | Link_extraction | Searching for: Devendra Fadnavis news (30 pages)
2026-03-15 23:50:58,327 | WARNING | Link_extraction | No more pages available for 'Devendra Fadnavis news' after page 6.
2026-03-15 23:50:58,327 | INFO | Link_extraction | Searching for: देवेंद्र फडणवीस समाचार (30 pages)
2026-03-15 23:51:25,193 | WARNING | Link_extraction | No more pages available for 'देवेंद्र फडणवीस समाचार' after page 4.
2026-03-15 23:51:25,193 | INFO | Link_extraction | Searching for: देवेंद्र फडणवीस बातम्या (30 pages)
2026-03-15 23:52:05,067 | WARNING | Link_extraction | No more pages available for 'देवेंद्र फडणवीस बातम्या' after page 6.
2026-03-15 23:52:05,067 | INFO | Link_extraction | Searching for: Devendra Fadnavis latest news (30 pages)
2026-03-15 23:52:44,988 | WARNING | Link_extraction | No more pages available for 'Devendra Fadnavis latest news' after page 6.
2026-03-15 23:52:44,988 | INFO | Link_extraction | Searching for: देवेंद्र फडणवीस ताजा समाचार (30 pages)
2026-03-15 23:52:58,811 | WARNING | Link_extraction | No more pages available for 'देवेंद्र फडणवीस ताजा समाचार' after page 2.
2026-03-15 23:52:58,811 | INFO | Link_extraction | Searching for: देवेंद्र फडणवीस नवीन बातम्या (30 pages)
